--------------------------------------------------------------------------------
		marvellous infosystems process log

		log file is created at: Fri Jun 20 17:00:58 2025
--------------------------------------------------------------------------------{'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'name': 'System Idle Process'} 
{'username': None, 'pid': 14856, 'name': 'FileSyncHelper.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 15136, 'name': 'Code.exe'} 
{'username': None, 'pid': 15472, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 15512, 'name': 'msedgewebview2.exe'} 
{'username': None, 'pid': 15520, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 15556, 'name': 'Code.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 15672, 'name': 'chrome.exe'} 
{'username': None, 'pid': 15804, 'name': 'TitanCoreSubAgent.exe'} 
{'username': None, 'pid': 15832, 'name': 'conhost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 15880, 'name': 'browserhost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 15972, 'name': 'chrome.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 16432, 'name': 'WidgetService.exe'} 
{'username': None, 'pid': 16476, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 16656, 'name': 'LockApp.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 16684, 'name': 'msedgewebview2.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 16808, 'name': 'conhost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 16988, 'name': 'cmd.exe'} 
{'username': None, 'pid': 17052, 'name': 'svchost.exe'} 
{'username': None, 'pid': 17808, 'name': 'svchost.exe'} 
{'username': None, 'pid': 17816, 'name': 'winlogon.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 18104, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 18152, 'name': 'chrome.exe'} 
{'username': None, 'pid': 18156, 'name': 'svchost.exe'} 
{'username': None, 'pid': 18640, 'name': 'svchost.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 18916, 'name': 'RuntimeBroker.exe'} 
{'username': None, 'pid': 18928, 'name': 'unsecapp.exe'} 
{'username': 'DESKTOP-NP5VK9H\\DELL', 'pid': 19192, 'name': 'ShellHost.exe'} 
{'username': None, 'pid': 19316, 'name': 'SupportAssistAgent.exe'} 
{'username': None, 'pid': 19552, 'name': 'OfficeClickToRun.exe'} 
{'username': None, 'pid': 20312, 'name': 'Dell.D3.WinSvc.exe'} 
